url,headline,date,
https://nypost.com/2023/11/29/metro/pro-palestinian-protesters-swarm-nyc-to-derail-rockefeller-center-christmas-tree-lighting/,"              Pro-Palestinian protesters, one carrying swastika, swarm Midtown in bid to derail Rockefeller Center Christmas tree lighting            ",2023-11-29,
https://nypost.com/2023/11/28/news/top-cia-agent-shared-pro-palestinian-to-facebook-after-hamas-attack-report/,              Top-ranking CIA official shared pro-Palestinian Facebook posts weeks after Hamas terror attack: report            ,2023-11-28,
https://nypost.com/2023/11/28/metro/nypd-calls-for-elevated-vigilance-during-rockefeller-center-tree-lighting-as-pro-palestinian-group-plans-to-flood-the-festivities/,              NYPD calls for 'elevated vigilance' during Rockefeller Center tree lighting as pro-Palestinian group plans to 'flood' event            ,2023-11-28,
https://nypost.com/2023/11/28/news/suspect-in-shooting-of-palestinian-students-fired-from-job-weeks-before-attack/,              Suspect in shooting of Palestinian students was fired from finance job just weeks before attack            ,2023-11-28,
https://nypost.com/2023/11/28/news/hamas-gives-10-month-old-israeli-hostage-to-separate-palestinian-terror-group-more-psychological-torture/,              Hamas gives 10-month-old Israeli hostage to separate Palestinian terror group as relatives fear he’s being held as a ‘trophy’            ,2023-11-28,
https://nypost.com/2023/11/27/opinion/pro-palestinian-hs-students-rioted-in-queens-letters/,"              Pro-Palestinian NYC high school riot: Letters to the Editor — Nov. 28, 2023            ",2023-11-27,
https://nypost.com/2023/11/27/opinion/even-human-rights-watch-admits-palestinians-caused-al-ahli/,              Even Human Rights Watch admits Palestinian terrorists bombed hospital            ,2023-11-27,
https://nypost.com/2023/11/27/news/squad-silent-after-group-blames-palestinians-in-hospital-blast/,              'Squad' silent after anti-Israel group points finger at Palestinians in Gaza hospital blast            ,2023-11-27,
https://nypost.com/2023/11/27/news/jason-eaton-palestinian-student-shooting-suspect-was-depressed-mom/,              Palestinian student shooting suspect pleads not guilty as mom reveals his mental health struggles            ,2023-11-27,
https://nypost.com/2023/11/27/news/suspect-arrested-in-possible-hate-crime-shooting-of-3-palestinian-college-students-in-vermont/,              Suspect arrested in possible hate crime shooting of 3 Palestinian students in Vermont            ,2023-11-27,
https://nypost.com/2023/11/26/metro/teacher-at-nyc-school-in-large-palestinian-community-lands-in-hot-seat-for-saying-let-gaza-burn/,              NYC teacher in large Palestinian community lands in hot seat for saying 'Let Gaza Burn'            ,2023-11-26,
https://nypost.com/2023/11/26/opinion/raucus-pro-palestine-protests-are-killing-nycs-recovery/,              Raucous 'pro-Palestine' protests are killing NYC's recovery            ,2023-11-26,
https://nypost.com/2023/11/26/opinion/rioting-for-palestine-the-left-keeps-displaying-its-utter-ignorance/,              Rioting for Palestine? The left keeps displaying its utter ignorance            ,2023-11-26,
https://nypost.com/2023/11/26/metro/pro-palestine-protesters-block-manhattan-bridge-call-for-ceasefire/,"              Pro-Palestinian protesters block Manhattan Bridge, call for cease-fire            ",2023-11-26,
https://nypost.com/2023/11/26/metro/ny-public-library-facing-75k-cleanup-after-pro-palestinian-protesters-vandalism/,              NY Public Library facing $75K cleanup after 'shameful act of vandalism' by pro-Palestinian protesters            ,2023-11-26,
https://nypost.com/2023/11/26/news/3-top-palestinian-college-students-shot-in-vermont-in-alleged-bias-attack/,              3 Palestinian college students shot while walking to dinner in alleged bias attack            ,2023-11-26,
https://nypost.com/2023/11/25/news/pro-palestinian-protesters-drag-burning-israeli-flag-down-nyc-street-as-they-warn-supporters-days-are-numbered/,              Pro-Palestinian protesters drag burning Israeli flag down NYC street as they warn supporters days are 'numbered'            ,2023-11-25,
https://nypost.com/2023/11/25/news/miss-universe-judge-hit-with-death-threats-after-debate-against-palestinian-activist/,              Miss Universe judge hit with death threats after debate against Palestinian activist            ,2023-11-25,
https://nypost.com/2023/11/24/metro/34-pro-palestian-protestersincluding-man-who-once-heckled-jewish-bar-patron-busted-at-thanksgiving-day-parade/,              34 pro-Palestian protesters—including man who once heckled Jewish bar patron — busted at Thanksgiving Day parade            ,2023-11-24,
https://nypost.com/2023/11/24/news/around-2k-pro-palestinian-protesters-demand-permanent-end-to-occupation-of-gaza-dismantling-of-israeli-government-in-nycs-washington-square-park/,"              Around 2K pro-Palestinian protesters demand 'permanent end to occupation' of Gaza, dismantling of Israel government in NYC park            ",2023-11-24,
https://nypost.com/2023/11/23/metro/pro-palestinian-protesters-dole-out-killed-posters-during-macys-thanksgiving-day-parade/,              Pro-Palestinian protesters pass out 'Killed by Israel' posters during Macy's Thanksgiving Day Parade            ,2023-11-23,
https://nypost.com/2023/11/23/metro/pro-palestinian-protesters-glue-their-hands-to-street-disrupting-macys-thanksgiving-day-parade/,"              Pro-Palestinian protesters glue hands to 6th Ave., disrupting Thanksgiving Day Parade            ",2023-11-23,
https://nypost.com/2023/11/21/metro/stuart-seldowitz-harasses-halal-cart-vendor-says-killing-of-4000-palestinian-kids-wasnt-enough/,"              Ex-Obama aide harasses halal cart vendor, says 4K Palestinian kid deaths 'wasn't enough'            ",2023-11-21,
https://nypost.com/2023/11/21/metro/attacker-in-anti-jewish-beating-shouts-free-palestine-as-family-accuses-judge-of-being-racist-during-wild-nyc-sentencing-hearing/,              Antisemitic attacker shouts 'Free Palestine' as family slams 'racist' judge during wild NYC sentencing hearing            ,2023-11-21,
https://nypost.com/2023/11/18/news/hesham-a-ayyad-lied-about-anti-palestinian-hate-crime-cops/,              20-year-old arrested for allegedly lying about being victim of anti-Palestinian hate crime            ,2023-11-18,
https://nypost.com/2023/11/18/news/hakeem-jeffries-condemns-dsa-ad-targeting-him-with-watermelon/,              House Dem leader Hakeem Jeffries condemns DSA after pro-Palestinian org targets him with 'racist' watermelon ad            ,2023-11-18,
https://nypost.com/2023/11/18/metro/jews-support-israeli-owned-tamar-juice-bar-after-boycott/,              Jewish community rallies in support of BK Israeli-owned juice bar after it was targeted by pro-Palestinian activists            ,2023-11-18,
https://nypost.com/2023/11/17/metro/rep-dan-goldmans-nyc-office-vandalized-with-pro-palestinian-graffiti/,              Jewish rep’s NYC office vandalized with pro-Palestinian graffiti: 'Blood on ur hands'             ,2023-11-17,
https://nypost.com/2023/11/17/metro/pro-palestinian-protesters-shout-long-live-the-intifada-in-union-square/,"              Hundreds of pro-Palestinian protesters — including A-list actress — shout 'Long live the Intifada!', pass out maps of pro-Israel locations to target in NYC            ",2023-11-17,
https://nypost.com/2023/11/17/news/pro-palestinian-prof-charged-in-death-of-paul-kessler-could-still-face-hate-raps-da/,              Pro-Palestinian professor charged in death of Jewish demonstrator has bail slashed from $1M to $50K            ,2023-11-17,
https://nypost.com/2023/11/17/metro/nyc-councilwoman-to-be-cleared-of-gun-charge-over-firearm-at-pro-palestinian-rally/,              NYC Councilwoman to be cleared of gun charge after toting firearm at pro-Palestinian rally            ,2023-11-17,
https://nypost.com/2023/11/17/news/johns-hopkins-doc-on-leave-after-calling-palestinians-animals/,              Johns Hopkins doc on leave after posting hateful remarks about Palestinians            ,2023-11-17,
https://nypost.com/2023/11/16/metro/pro-palestinian-group-shares-reprehensible-antisemitic-map-of-nyc-targets-on-social-media/,              Pro-Palestinian group shares 'reprehensible' antisemitic map of NYC targets on social media             ,2023-11-16,
https://nypost.com/2023/11/16/opinion/the-palestinian-refugee-crisis-is-a-united-nations-perpetuated-myth/,              The Palestinian refugee ‘crisis’ is a United Nations-perpetuated myth            ,2023-11-16,
https://nypost.com/2023/11/16/news/pro-palestinian-protesters-intimidated-cashiers-at-morton-williams-owner-says/,"              Pro-Palestinian protesters harassed NYC supermarket staff, defaced Israeli section: Jewish owner             ",2023-11-16,
https://nypost.com/2023/11/16/news/suspect-arrested-in-death-of-paul-kessler-jewish-man-killed-at-protest/,              Man arrested in death of Jewish man killed during pro-Palestinian protest            ,2023-11-16,
https://nypost.com/2023/11/15/metro/5-people-arrested-during-staten-island-pro-palestine-protest/,"              5 people, including 2 minors, arrested after pro-Palestinian protesters clash with cops on Staten Island            ",2023-11-15,
https://nypost.com/2023/11/15/news/noa-tishby-calls-for-investigation-of-pro-palestinian-groups/,              Former Israeli actress demands FBI probe into whether pro-Palestinian organizations receiving money from terrorist groups            ,2023-11-15,
https://nypost.com/2023/11/15/news/massachussets-town-north-andover-approves-proposal-to-fly-palestinian-flag/,              Massachusetts town approves proposal to fly Palestinian flag            ,2023-11-15,
https://nypost.com/2023/11/13/news/mit-student-interrupts-math-lecture-to-chant-free-palestine/,"              MIT student interrupts math lecture, chants ‘Free Palestine’ in viral video            ",2023-11-13,
https://nypost.com/2023/11/12/opinion/palestinians-dont-want-to-govern-gaza-heres-why/,              Palestinians don't want to govern Gaza — here's why            ,2023-11-12,
https://nypost.com/2023/11/12/opinion/hamas-and-pro-palestine-protesters-unite-in-wanting-war-to-destroy-israel/,              Hamas AND 'pro-Palestine' protesters unite in wanting war to destroy Israel            ,2023-11-12,
https://nypost.com/2023/11/12/lifestyle/greta-thunberg-scolded-by-climate-protestor-for-acknowledging-israel-palestine-conflict/,              Greta Thunberg scolded by climate protestor for acknowledging Israel- Palestinian conflict on stage            ,2023-11-12,
https://nypost.com/2023/11/12/news/paul-kessler-mourned-as-pro-israel-symbol-in-days-after-death/,              Paul Kessler mourned as pro-Israel 'symbol' after fatal clash with Palestinian protester            ,2023-11-12,
https://nypost.com/2023/11/11/news/2-la-charter-school-teachers-removed-for-teaching-1st-graders-about-genocide-in-palestine/,              2 charter school teachers removed for teaching 1st graders about 'genocide in Palestine' in class at synagogue            ,2023-11-11,
https://nypost.com/2023/11/11/news/500k-pile-into-london-as-us-citizens-protest-outside-bidens-delaware-home-for-palestine/,              500K pro-Palestinian demonstrators mob London as American protest held near Biden's Delaware mansion            ,2023-11-11,
https://nypost.com/2023/11/11/sports/ex-ufc-champ-jamahal-hills-bus-attacked-by-pro-palestinian-protestors/,              Ex-UFC champion's bus attacked by pro-Palestinian protestors in Manhattan            ,2023-11-11,
https://nypost.com/2023/11/11/news/a-brooklyn-parent-advisory-board-promoted-and-organized-a-student-walkout-for-palestine-this-week-a-clear-violation-of-state-regulations-outraged-critics-told-the-post/,"              NYC parent, teacher groups promoted pro-Palestinian student walkout — kids yelled 'F--k the Jews!'            ",2023-11-11,
https://nypost.com/2023/11/11/news/jewish-mom-disturbed-by-book-defaced-with-pro-palestinian-stickers/,              Jewish mom orders Israel book from Amazon — receives copy defaced with pro-Palestinian stickers            ,2023-11-11,
https://nypost.com/2023/11/10/news/pro-palestinian-student-group-gives-new-school-an-ultimatum/,              Pro-Palestinian students demand New School cut off Israel conservatory over 'genocide of the people in Gaza'            ,2023-11-10,
https://nypost.com/2023/11/10/news/palestinian-rosa-parks-hailed-by-media-as-hero-accused-of-sharing-hitlerian-threat-to-drink-jews-blood/,              Palestinian woman whom liberal media compared to Rosa Parks is accused of threatening to drink Jews' blood and eat their skulls            ,2023-11-10,
https://nypost.com/2023/11/10/news/decapitated-doll-found-under-free-palestine-flag-in-ohio/,              Bloody decapitated baby doll found underneath 'Free Palestine' flag in Ohio yard            ,2023-11-10,
https://nypost.com/2023/11/09/news/brawls-erupt-outside-screening-of-gal-gadots-hamas-film/,              Gal Gadot's screening of Hamas terror attack film ends in brawls between pro-Israel and pro-Palestinian protesters            ,2023-11-09,
https://nypost.com/2023/11/08/metro/protesters-calling-for-cease-fire-block-traffic-outside-rep-goldmans-brooklyn-office/,              18 pro-Palestinian protesters arrested after blocking traffic outside Rep. Goldman's Brooklyn office            ,2023-11-08,
https://nypost.com/2023/11/08/opinion/what-is-hamas-fighting-for-to-enrich-its-leaders/,              Hamas heads grow rich on the backs of suffering Palestinians            ,2023-11-08,
https://nypost.com/2023/11/08/news/pro-palestine-protestor-stalked-paul-kessler-before-alleged-fatal-punch-witness/,              Pro-Palestinian protester ‘stalked’ Jewish victim before alleged fatal punch: witness            ,2023-11-08,
https://nypost.com/2023/11/07/news/sen-fetterman-cant-understand-pro-palestinian-protestor-the-joke-is-on-you-i-had-a-stroke/,              Sen. Fetterman 'can't understand' pro-Palestinian protestor: 'The joke is on you. I had a stroke'            ,2023-11-07,
https://nypost.com/2023/11/07/news/paul-kessler-was-struck-on-mouth-before-fatal-protest-fall-rabbi/,              Jewish man who died during Calif. clash with pro-Palestinian protesters was struck in mouth with megaphone: rabbi            ,2023-11-07,
https://nypost.com/2023/11/07/metro/jewish-community-shows-in-droves-to-support-ues-cafe-after-pro-palestinian-baristas-walk-out/,              Jewish community turns up in droves to support UES cafe — some to work shifts — after pro-Palestinian baristas walk out            ,2023-11-07,
https://nypost.com/2023/11/07/news/israel-hamas-war-live-updates-and-analysis-on-gaza-invasion/,              Pro-Palestinian group violently mobs Jewish college students: 'Go back to Poland'            ,2023-11-10,
https://nypost.com/2023/11/06/news/69-year-old-jewish-man-dies-after-altercation-with-pro-palestinian-protesters-in-california/,"              Jewish man's death investigated as homicide, hate crime after altercation with pro-Palestinian protesters            ",2023-11-06,
https://nypost.com/2023/11/06/news/israels-ground-invasion-ramps-up-as-gaza-death-toll-surpasses-10k/,"              Israel's ground invasion ramps up as Gaza death toll surpasses 10K, Palestinian officials say            ",2023-11-06,
https://nypost.com/2023/11/06/news/antifa-supporter-clashes-with-muslim-women-over-transgender-kids-after-london-pro-palestinian-protest-worlds-collide/,              Antifa supporter clashes with Muslim women over transgender kids following pro-Palestinian protest: 'Worlds collide'            ,2023-11-06,
https://nypost.com/2023/11/05/opinion/free-palestine-really-means-eliminate-israel-and-democrats-can-no-longer-ignore-it/,"              'Free Palestine' really means 'Eliminate Israel,' and Democrats can no longer ignore it            ",2023-11-05,
https://nypost.com/2023/11/05/news/palestinian-journalist-loses-sons-brother-after-israel-airstrike-hits-refugee-camp/,"              Palestinian journalist loses sons, brother after Israel airstrike hits refugee camp            ",2023-11-05,
https://nypost.com/2023/11/05/news/blinken-visits-west-bank-to-meet-palestinian-leader-mahmoud-abbas/,              Blinken makes unannounced visit to West Bank to meet Palestinian leader as Israeli airstrikes kill dozens at refugee camps            ,2023-11-05,
https://nypost.com/2023/11/04/news/11-pro-palestinian-protesters-arrested-in-london/,              11 pro-Palestinian protesters arrested in London as tens of thousands demand Gaza ceasefire            ,2023-11-04,
https://nypost.com/2023/11/04/news/macklemore-speaks-at-pro-palestinian-dc-rally-this-is-genocide/,              Macklemore speaks at pro-Palestinian rally in DC where demonstrators called for destruction of Israel            ,2023-11-04,
https://nypost.com/2023/11/04/news/pro-palestinian-marchers-flood-dc-say-racist-state-israel-does-not-have-the-right-to-exist-long-live-the-intifada/,"              Thousands of pro-Palestinian marchers descend upon WH chanting 'Allahu akbar,' 'F--k Joe Biden,' demand ceasefire            ",2023-11-04,
https://nypost.com/2023/11/04/metro/pro-palestine-rally-sponsors-raked-in-9m-in-city-funds/,              Pro-Palestinian protest sponsors have raked in $9M in NYC taxpayer funds since 2010            ,2023-11-04,
https://nypost.com/2023/11/03/news/tlaib-accuses-biden-of-supporting-genocide-of-the-palestinian-people/,              Rep. Rashida Tlaib accuses Biden of supporting ‘genocide of the Palestinian people’            ,2023-11-03,
https://nypost.com/2023/11/03/news/ivy-league-students-went-to-palestine-and-targeted-israelis/,              Ivy League students went on spring break to Palestine — then 'targeted Israelis on campus'            ,2023-11-03,
https://nypost.com/2023/11/03/business/harvard-law-review-editor-who-accosted-jewish-student-involved-in-stanford-car-crash/,              Harvard Law Review editor who mobbed Jewish student at pro-Palestinian protest was in bizarre U-Haul crash at Stanford            ,2023-11-03,
https://nypost.com/2023/11/02/metro/jewish-nyc-pol-who-showed-up-at-pro-palestinian-rally-packing-heat-released-without-bail/,              Jewish NYC pol who showed up at pro-Palestinian rally packing heat released without bail            ,2023-11-02,
https://nypost.com/2023/11/02/news/hamas-attack-survivor-says-shes-terrified-of-pro-palestinian-protests-on-campuses/,              Woman who hid under dead bodies to survive Hamas attack says she's terrified of pro-Palestinian protests on US campuses            ,2023-11-02,
https://nypost.com/2023/11/01/metro/bronx-jewish-cultural-center-vandalized-with-free-palestine-paint-and-eggs/,              'Free Palestine' spray-painted onto Bronx Jewish cultural center            ,2023-11-01,
https://nypost.com/2023/11/01/news/house-republican-likens-innocent-palestinian-civilians-to-innocent-nazi-civilians-during-ww2/,              House Republican likens 'very few innocent' Palestinians to ‘innocent Nazi civilians’ during World War II            ,2023-11-01,
https://nypost.com/2023/11/01/opinion/hamas-officials-admit-its-strategy-is-to-use-palestinian-civilians-as-human-shields/,              Hamas officials admit its strategy is to use Palestinian civilians as human shields            ,2023-11-01,
https://nypost.com/2023/11/01/entertainment/amy-schumer-reacts-over-israeli-palestinian-conflict-remarks-backlash/,              'Failed comic' Amy Schumer reacts after backlash over Israeli-Palestinian conflict remarks            ,2023-11-01,
https://nypost.com/2023/11/01/news/virginia-ag-to-probe-pro-palestine-group-with-alleged-ties-to-hamas/,              Virginia AG to probe pro-Palestinian group with alleged ties to Hamas            ,2023-11-01,
https://nypost.com/2023/11/01/metro/nyc-man-busted-for-trying-to-rip-down-israeli-hostage-posters-on-ues/,              NYC man in Palestinian scarf busted over scuffle on UES after trying to rip down Israeli hostage posters            ,2023-11-01,
https://nypost.com/2023/12/28/metro/thousands-of-pro-palestinian-protesters-swarm-manhattan-to-call-for-ceasefire/,"              Thousands of pro-Palestinian protesters swarm WTC, chant for end of Israel during rowdy funeral procession            ",2023-12-28,
https://nypost.com/2023/12/28/news/palestinian-restaurant-in-brooklyn-ripped-for-antisemitic-phrase-on-menus/,              NYC Palestinian restaurant chain facing death threats for 'openly genocidal' menu phrase owner says is 'nowhere near our definition'            ,2023-12-28,
https://nypost.com/2023/12/28/metro/ex-nypd-commissioner-bill-bratton-says-unruly-pro-palestinian-protesters-need-to-face-charges/,"              Unruly pro-Palestinian protesters must face charges to 'screw them up' if they keep getting busted, ex-commish says            ",2023-12-28,
https://nypost.com/2023/12/27/metro/nypd-bracing-for-pro-palestinian-protest-at-nye-ball-drop/,              NYPD will be out in force at Times Square NYE ball drop to protect revelers from pro-Palestinian protesters who ‘want to do bad things’            ,2023-12-27,
https://nypost.com/2023/12/26/metro/pro-israel-democrat-ritchie-torres-office-vandalized-with-bloody-jesus-doll/,              Anti-Israel vandals leave bloody doll dubbed ‘Palestinian child messiah’ outside Rep. Torres’ office            ,2023-12-26,
https://nypost.com/2023/12/26/metro/six-pro-palestinian-protesters-charged-over-christmas-unrest/,              Six pro-Palestinian protesters charged over Christmas Day rampage through NYC            ,2023-12-26,
https://nypost.com/2023/12/25/news/hamas-in-control-of-unrwa-aid-group-in-gaza-palestinian-man/,"              Hamas is in control of UNRWA aid group in Gaza, Palestinian man says: recording            ",2023-12-25,
https://nypost.com/2023/12/25/metro/pro-palestinian-protesters-out-to-cancel-christmas-as-they-storm-nyc-again/,"              Pro-Palestinian protesters chant 'Christmas is canceled' while carrying blood-red mock Nativity scene through NYC -- scuffles break out, arrests made            ",2023-12-25,
https://nypost.com/2023/12/25/news/pro-palestine-protest-disrupts-christmas-fundraiser-for-blind-children/,              Pro-Palestinian protesters disrupt Christmas fundraiser for blind children: 'Shameful'            ,2023-12-25,
https://nypost.com/2023/12/25/news/priest-tells-cnn-christmas-is-the-story-of-a-palestinian-jew-in-an-occupied-country/,              Priest slammed for saying Jesus was 'Palestinian Jew' in 'occupied' country in CNN interview: 'Embarrassingly wrong'            ,2023-12-25,
https://nypost.com/2023/12/25/news/pro-palestinian-protests-near-homes-of-lloyd-austin-jake-sullivan/,"              Pro-Palestinian agitators 'harass' secretary of defense, national security adviser outside homes on Christmas            ",2023-12-25,
https://nypost.com/2023/12/25/business/blm-activist-shaun-kings-instagram-account-blocked-amid-anti-israel-posts/,              BLM activist Shaun King claims Instagram account banned over 'fighting for Palestine' amid anti-Israel posts            ,2023-12-25,
https://nypost.com/2023/12/25/news/aoc-slammed-over-christmas-message-about-israel-hamas-war-jew-hate/,              AOC slammed over online Christmas post likening Palestinians to Jesus and describing Israel as a violent occupying force: 'Jew hate'            ,2023-12-25,
https://nypost.com/2023/12/24/metro/nyc-pro-palestinian-protesters-disrupt-christmas-caroling-in-washington-square-park/,              Pro-Palestinian protesters in car caravan clash with Christmas carolers in Washington Square Park: 'We sang louder'            ,2023-12-24,
https://nypost.com/2023/12/23/news/minnesota-professor-calls-to-decolonize-and-dismantle-the-us/,              Professor calls on people to 'go as hard as possible' to 'dismantle' US at pro-Palestinian event            ,2023-12-23,
https://nypost.com/2023/12/23/news/house-republicans-gearing-up-for-united-nations-probe/,              House committee to probe UN agency for Palestinian refugees for suspected Hamas ties: 'Troubling connection'            ,2023-12-23,
https://nypost.com/2023/12/21/metro/pro-palestinian-protesters-shout-long-live-hamas-at-jewish-couple-in-nyc/,              Pro-Palestinian protesters shout 'Long live Hamas' at Jewish couple during dueling protests in NYC            ,2023-12-21,
https://nypost.com/2023/12/21/news/idf-destroys-hamas-tunnel-in-palestine-square-where-leaders-hid-during-oct-7-attack/,              IDF destroys Hamas tunnel in Palestine Square where leaders hid during Oct. 7 attack            ,2023-12-21,
https://nypost.com/2023/12/21/news/pro-palestine-protesters-storm-democratic-holiday-bash-in-detroit/,"              Brawl involving pro-Palestinian activists at Detroit Dem holiday bash leaves partygoers bloodied, bruised and in ER            ",2023-12-21,
https://nypost.com/2023/12/20/opinion/israel-cannot-let-palestinian-authority-run-gaza-or-allow-hezbollah-to-remain-on-border/,              Israel cannot let the Palestinian Authority run Gaza or allow Hezbollah to remain on border            ,2023-12-20,
https://nypost.com/2023/12/19/opinion/hamas-hates-palestinians-hoards-millions-while-gaza-suffers/,"              Hamas hates Palestinians, hoards millions while Gaza suffers            ",2023-12-19,
https://nypost.com/2023/12/17/news/black-americans-see-their-struggles-reflected-in-palestine/,              Black Americans' growing solidarity with plight of Palestinians in Gaza            ,2023-12-17,
https://nypost.com/2023/12/16/media/bill-maher-urges-palestinians-not-to-believe-myth-of-from-the-river-to-the-sea-israel-is-going-nowhere/,"              Bill Maher delivers blistering takedown of pro-Palestinian movement, says Israel going 'nowhere'            ",2023-12-16,
https://nypost.com/2023/12/12/metro/hateful-attacker-on-bike-snarls-free-palestine-hurls-rock-at-jewish-man-in-nyc-cops/,"              Hateful attacker hurls rock at Jewish man in NYC, snarls 'Free Palestine'            ",2023-12-12,
https://nypost.com/2023/12/11/news/dozens-of-pro-palestinian-protesters-arrested-in-senate-office-building/,              Dozens of pro-Palestinian protesters demanding cease-fire arrested in Senate office building            ,2023-12-11,
