url,headline,date
https: thehill.com policy international 4269464-israel-carries-out-rare-airstrike-in-west-bank-hits-airport-in-syria-military-says ,"   Israel carries out rare airstrike in West Bank, hits airport in Syria, military says  ",2023-10-22
https: thehill.com homenews 4281922-us-says-netanyahu-has-to-rein-in-extremist-settlers-in-west-bank ,   US says Netanyahu has to rein in ‘extremist’ settlers in West Bank  ,2023-10-29
https: thehill.com homenews 4294150-blinken-meets-with-palestinian-leader-in-west-bank ,   Blinken meets with Palestinian leader in West Bank  ,2023-11-05
https: thehill.com homenews senate 4317412-senate-democrat-backs-biden-plan-to-restrict-visas-of-extremist-west-bank-settlers ,   Senate Democrat backs Biden plan to restrict visas of extremist West Bank settlers  ,2023-11-19
https: thehill.com homenews 4317386-us-moving-toward-imposing-travel-ban-on-west-bank-settlers-associated-with-violence-against-palestinians ,   US moving toward imposing travel ban on West Bank settlers associated with violence against Palestinians  ,2023-11-19
https: thehill.com homenews campaign 4317371-christie-says-he-would-not-call-for-a-freeze-in-west-bank-settlements-amid-escalating-violence ,   Christie says he would not call for a ‘freeze’ in West Bank settlements amid escalating violence  ,2023-11-19
https: thehill.com policy national-security 4343216-us-visa-bans-israeli-extremists-west-bank ,   US announces visa bans for Israeli ‘extremist settlers’ in West Bank  ,2023-12-05
https: thehill.com homenews administration 4346164-harris-aide-meets-with-palestinian-officials-in-west-bank ,   Harris aide meets with Palestinian officials in West Bank  ,2023-12-06
https: thehill.com policy international 4354757-israel-allows-palestinian-americans-to-enter-from-west-bank-for-first-time-since-10-7 ,   Israel allows Palestinian Americans to enter from West Bank for first time since 10. 7  ,2023-12-11
https: thehill.com policy international 4379981-un-report-israel-unlawful-killings-west-bank ,   UN report calls on Israel to ‘end unlawful killings’ in West Bank  ,2023-12-28
https: thehill.com policy international 4381447-unicef-2023-deadliest-children-west-bank ,   2023 ‘deadliest year on record’ for children in the West Bank: UNICEF  ,2023-12-29
https: thehill.com opinion 4390167-to-solve-the-israeli-palestinian-conflict-first-confront-iran ,   To solve the Israeli-Palestinian conflict: First confront Iran   ,2024-01-04
https: thehill.com policy international 4394602-blinken-palestinians-must-be-allowed-to-stay-in-gaza ,   Blinken: Palestinians must be allowed to stay in Gaza  ,2024-01-07
https: thehill.com policy international 4394118-israeli-president-says-forced-displacement-of-palestinians-in-gaza-absolutely-not-position-of-government ,   Israeli president says forced displacement of Palestinians in Gaza ‘absolutely not’ position of government  ,2024-01-07
https: thehill.com homenews state-watch 4395785-arrests-pro-palestinian-protests-nyc-bridges-holland-tunnel ,"   More than 300 arrested in pro-Palestinian protests blocking NYC bridges, Holland Tunnel  ",2024-01-08
https: thehill.com opinion international 4403640-after-gaza-the-rabidly-antisemitic-palestinian-education-system-must-be-fixed ,"   After Gaza, the rabidly antisemitic Palestinian education system must be fixed  ",2024-01-12
https: thehill.com opinion 4408958-hope-is-not-a-strategy-the-futility-of-a-possible-palestinian-authority-return-to-gaza ,   Hope is not a strategy: The futility of a possible Palestinian Authority return to Gaza  ,2024-01-15
https: thehill.com blogs blog-briefing-room 4413241-palestinian-students-targeted-vermont-gunman ,   Palestinian students say they were targeted by alleged Vermont gunman  ,2024-01-17
https: thehill.com policy international 4412981-blinken-pathway-to-palestinian-state-israels-security ,   Blinken says pathway to Palestinian state necessary for Israel’s security  ,2024-01-17
https: thehill.com policy international 4416539-netanyahu-israel-palestinian-state-gaza-hamas ,   Netanyahu rejects calls for opening path for Palestinian state  ,2024-01-18
https: thehill.com policy international 4415591-americans-in-new-poll-divided-on-humanitarian-aid-to-palestinians ,   Americans in new poll divided on humanitarian aid to Palestinians  ,2024-01-18
https: thehill.com policy international 4415413-palestinians-dying-daily-in-overwhelmed-hospitals-un ,   Palestinians dying daily in overwhelmed hospitals: UN  ,2024-01-18
https: thehill.com homenews senate 4418352-cardin-predicts-netanyahu-will-change-mind-palestinian-state ,   Cardin predicts Netanyahu will change mind ‘dramatically’ on Palestinian state after war  ,2024-01-19
https: thehill.com homenews administration 4418119-biden-speaks-with-netanyahu-after-israeli-leader-rejects-palestinian-state ,   Biden speaks with Netanyahu after Israeli leader rejects Palestinian state  ,2024-01-19
https: thehill.com homenews house 4417831-jewish-democrats-israel-palestinian-state ,   Jewish Democrats denounce Netanyahu’s opposition to Palestinian state  ,2024-01-19
https: thehill.com homenews campaign 4422883-tempers-flare-over-israel-palestine-in-california-senate-debate ,   Tempers flare over Israel-Palestine in California Senate debate  ,2024-01-22
https: thehill.com homenews education 4422747-pro-palestinian-protestors-say-they-were-attacked-with-stink-bomb-at-columbia-university ,   Pro-Palestinian protesters say they were attacked with stink bomb at Columbia University  ,2024-01-22
https: thehill.com homenews house 4434319-pelosi-pro-palestinian-protesters-russia ,   Pelosi condemned by Council on American-Islamic Relations for linking pro-Palestinian protesters to Russia  ,2024-01-28
https: thehill.com homenews education 4435906-harvard-students-civil-rights-complaint-harassment-palestinian-rights ,   Harvard students file civil rights complaint claiming harassment for supporting Palestinian rights  ,2024-01-29
https: thehill.com homenews house 4437927-republican-lawmaker-introduces-bill-to-block-all-funds-for-un-palestinian-aid-agency ,   Republican lawmaker introduces bill to block all funds for UN Palestinian aid agency  ,2024-01-30
https: thehill.com opinion international 4437190-forget-about-pro-israel-or-pro-palestine-we-need-pro-humanity-in-the-middle-east ,   Forget about ‘pro-Israel’ or ‘pro-Palestine’ — we need ‘pro-humanity’ in the Middle East   ,2024-01-30
https: thehill.com homenews state-watch 4441239-judge-dismisses-florida-pro-palestinian-student-groups-free-speech-lawsuits-against-desantis ,   Judge dismisses Florida pro-Palestinian student groups’ free speech lawsuits against DeSantis  ,2024-01-31
https: thehill.com opinion 4440511-democrats-must-push-for-both-a-palestinian-state-and-an-iran-nuclear-deal ,   Democrats must push for both a Palestinian state and an Iran nuclear deal  ,2024-01-31
https: thehill.com homenews campaign 4439571-trump-knocks-biden-east-palestine-one-year-after-train-derailment ,   Trump knocks Biden for going to East Palestine one year after train derailment  ,2024-01-31
https: thehill.com homenews administration 4439173-biden-to-visit-east-palestine-02-year-after-derailment ,"   Biden to visit East Palestine in 02, one year after train derailment  ",2024-01-31
https: thehill.com homenews campaign 4443417-haley-campaign-event-disrupted-free-palestine-protesters ,   Haley campaign event disrupted by ‘Free Palestine’ protesters  ,2024-02-01
https: thehill.com newsletters energy-environment 4443347-east-palestine-residents-lack-closure-one-year-later ,   East Palestine residents lack closure one year later  ,2024-02-01
https: thehill.com homenews administration 4442353-biden-sanctions-extremist-israeli-settlers-west-bank-palestinians ,   Biden’s sanctions target extremist Israeli settlers for violence against Palestinians  ,2024-02-01
https: thehill.com opinion 4441554-on-palestinian-statehood-lessons-from-germany-and-japan ,   On Palestinian statehood: Lessons from Germany and Japan  ,2024-02-01
https: thehill.com policy energy-environment 4440815-east-palestine-ohio-train-crash-anniversary-little-closure-residents ,   ‘This story isn’t over’: Anniversary of East Palestine train crash brings little closure  ,2024-02-01
https: thehill.com policy energy-environment 4444618-ohio-attorney-general-says-settlement-of-east-palestine-lawsuit-not-imminent ,   Ohio attorney general says settlement of East Palestine lawsuit not imminent  ,2024-02-02
https: thehill.com opinion congress-blog 4443728-east-palestine-anniversary-calls-for-careful-attention-not-rushed-legislation ,"   East Palestine anniversary calls for careful attention, not rushed legislation  ",2024-02-04
https: thehill.com opinion international 4449179-what-israel-and-palestine-could-look-like-after-the-cataclysms ,   What Israel and Palestine could look like after the cataclysms  ,2024-02-05
https: thehill.com opinion technology 4448829-a-year-after-the-east-palestine-derailment-its-not-too-late-for-congress-to-act ,"   A year after the East Palestine train derailment, it’s not too late for Congress to act  ",2024-02-05
https: thehill.com homenews race-politics 4454090-aapi-survey-israel-palestinians ,   Half of Asian Americans and Pacific Islanders back more aid for Palestinians: Survey  ,2024-02-07
https: thehill.com policy international 4457364-un-leader-say-palestinian-aid-agency-cannot-be-replaced-amid-scrutiny ,   UN leader says Palestinian aid agency cannot be replaced amid scrutiny  ,2024-02-08
https: thehill.com homenews state-watch 4455457-stabbing-of-palestinian-american-austin-texas-hate-crime ,   Stabbing of Palestinian American in Texas meets hate crime definition: Police  ,2024-02-08
https: thehill.com opinion international 4453470-defund-the-unrwa-and-find-alternative-channels-to-get-aid-to-palestinians ,   Defund the UNRWA and find alternative channels to get aid to Palestinians  ,2024-02-08
https: thehill.com homenews administration 4460985-biden-to-travel-to-east-palestine-to-03k-one-year-of-train-derailment ,   Biden to travel to East Palestine to 03k one year of train derailment  ,2024-02-10
https: thehill.com opinion international 4459937-the-pathway-to-restoring-palestinian-authority-rule-in-gaza ,   A potential path to restoring Palestinian Authority rule in Gaza  ,2024-02-10
https: thehill.com policy defense 4460350-israeli-strikes-kill-palestinians-rafah-many-displaced ,"   Israeli strikes kill 31 Palestinians in Gaza’s southernmost city, where many are displaced  ",2024-02-10
https: thehill.com policy international 4462814-2-hostages-rescued-gaza-raid-palestinians-killed ,   2 hostages rescued in Gaza raid that killed dozens of Palestinians  ,2024-02-12
https: thehill.com policy international 4466563-unrwa-leader-calls-for-dismantling-palestine-relief-agency-short-sighted ,   UNRWA leader: Calls for dismantling Palestine relief agency ‘short-sighted’  ,2024-02-13
https: thehill.com homenews administration 4468690-biden-to-grant-18-month-deportation-protections-to-palestinians-impacted-by-gaza-war ,   Biden to grant 18-month deportation protections to Palestinians impacted by Gaza war  ,2024-02-14
https: thehill.com homenews house 4470632-sherman-pro-palestine-demonstrators-blood-on-their-hands-protests-interrupt-hearing ,   Democratic rep says pro-Palestine demonstrators have ‘blood on their hands’ after protests interrupt hearing  ,2024-02-15
https: thehill.com homenews campaign 4469634-trump-criticizes-biden-east-palestine-ohio-trip ,   Trump calls it ‘an insult’ for Biden to go to East Palestine one year after derailment  ,2024-02-15
https: thehill.com homenews house 4473902-gop-launches-probe-into-biden-administration-funding-of-un-palestinian-relief-agency ,   GOP launches probe into Biden administration funding of UN Palestinian relief agency  ,2024-02-16
https: thehill.com newsletters energy-environment 4473664-biden-calls-train-crash-act-of-greed-in-visit-to-east-palestine ,   Biden calls train crash ‘act of greed’ in visit to East Palestine   ,2024-02-16
https: thehill.com policy energy-environment 4473529-biden-praises-community-announces-nih-grants-east-palestine-visit ,"   Biden praises community, announces new NIH grants in first East Palestine visit  ",2024-02-16
https: thehill.com video-clips 4473124-biden-addresses-toxic-spill-recovery-east-palestine-ohio-watch-live ,"   Biden addresses toxic spill recovery in East Palestine, Ohio: Watch live  ",2024-02-16
https: thehill.com policy energy-environment 4472648-buttigieg-railway-safety-act-congressional-inaction-biden-east-palestine-ohio-train-crash ,   Buttigieg swipes at congressional inaction on rail safety bill as Biden heads to East Palestine  ,2024-02-16
https: thehill.com homenews campaign 4474990-ohio-senate-hopeful-on-bidens-east-palestine-trip-a-day-late-and-a-dollar-short ,   Ohio Senate hopeful on Biden’s East Palestine trip: ‘A day late and a dollar short’  ,2024-02-17
https: thehill.com policy international 4476785-palestinian-un-court-israel-west-bank-gaza ,   Palestinian diplomat asks top UN court to 12lare Israeli occupation illegal  ,2024-02-19
https: thehill.com opinion international 4483294-palestinian-leadership-and-dangerous-illusions-breed-endless-war ,   Palestinian leadership and dangerous illusions breed endless war  ,2024-02-23
https: thehill.com homenews administration 4490506-dozens-of-pro-palestine-protesters-arrested-outside-of-biden-interview ,   Dozens of pro-Palestine protesters arrested outside of Biden interview  ,2024-02-26
https: thehill.com policy international 4489137-human-rights-watch-israel-blocking-aid-to-palestinians-violating-un-court-order ,"   Human Rights Watch: Israel blocking aid to Palestinians, violating UN court order  ",2024-02-26
https: thehill.com newsletters defense-national-security 4498773-gaza-officials-israeli-forces-opened-fire-into-palestinian-crowd ,   Gaza officials: Israeli forces opened fire into Palestinian crowd  ,2024-02-29
https: thehill.com homenews house 4498098-biden-administration-greenlighting-the-massacre-of-palestinians-o03-says ,"   Biden administration ‘greenlighting the massacre of Palestinians,’ O03 says  ",2024-02-29
https: thehill.com policy defense 4497061-100-killed-gaza-israel-forces-open-fire ,   100-plus killed as Israeli soldiers open fire on Palestinians waiting for aid: Gaza officials  ,2024-02-29
https: thehill.com homenews administration 4504375-pro-palestinian-protestors-interrupt-first-ladys-event ,   Pro-Palestinian protestors interrupt first lady’s event: ‘This is a genocide’  ,2024-03-02
https: thehill.com policy international 4506170-opinions-of-israel-palestinian-authority-12line-gallup ,"   Opinions of Israel, Palestinian Authority 12line: Gallup  ",2024-03-04
https: thehill.com homenews education 4527462-columbia-university-sued-for-suspending-student-groups-over-pro-palestine-protests ,   Columbia University sued for suspending student groups over pro-Palestine protests  ,2024-03-12
https: thehill.com opinion international 4526285-documenting-sexual-violence-isnt-about-taking-sides-between-israel-and-palestine ,   Documenting sexual violence isn’t about taking sides between Israel and Palestine  ,2024-03-12
https: thehill.com homenews state-watch 4530334-miami-beach-votes-on-enacting-limits-on-protests-following-recent-pro-palestine-events ,   Miami Beach votes on enacting limits on protests following recent pro-Palestine events  ,2024-03-13
https: thehill.com regulation court-battles 4531643-judge-east-palestine-residents-lawsuit-norfolk-sourthen-proceeds ,   Judge allows East Palestine residents’ lawsuit against Norfolk Southern to proceed  ,2024-03-14
https: thehill.com newsletters defense-national-security 4535398-dueling-claims-after-palestinians-die-waiting-for-aid ,   Dueling claims after Palestinians die waiting for aid  ,2024-03-15
https: thehill.com opinion 4534559-does-the-us-need-a-palestinian-state ,   Does the US need a Palestinian state?  ,2024-03-15
https: thehill.com policy defense 4534790-israel-hamas-palestinians-aid-gaza ,"   Israel, Hamas offer competing stories after at least 20 Palestinians die waiting for aid  ",2024-03-15
https: thehill.com newsletters 4545838-senate-dems-push-biden-to-establish-two-state-solution-for-israel-palestine ,"   Senate Dems push Biden to establish two-state solution for Israel, Palestine  ",2024-03-20
https: thehill.com homenews senate 4544765-democrats-press-biden-two-state-solution-israel-palestine ,"   Senate Democrats press Biden to establish two-state solution for Israel, Palestine  ",2024-03-20
https: thehill.com policy defense 4558085-12-palestinians-drown-gaza-air-drops ,   12 Palestinians drown while trying to retrieve airdrops  ,2024-03-26
https: thehill.com policy energy-environment 4557206-east-palestine-ohio-train-crash-toxic-chemical-vinyl-chloride-involved-accidents-report ,   Chemical spilled in East Palestine involved in 966 accidents since 2010: Report  ,2024-03-26
https: thehill.com policy technology 4556678-warren-sanders-meta-blocking-palestinians ,"   Warren, Sanders accuse Meta of blocking content related to Palestinians: ‘Deeply troubling’  ",2024-03-26
https: thehill.com opinion international 4556925-how-the-spectacle-of-palestinian-terrorism-changed-the-world ,   How the spectacle of Palestinian terrorism changed the world  ,2024-03-27
https: thehill.com opinion international 4567820-a-palestinian-state-is-inevitable-biden-should-speed-up-the-process ,   A Palestinian state is inevitable. Biden should speed up the process.   ,2024-04-02
https: thehill.com homenews administration 4571819-palestinian-american-d10or-walks-out-white-house-meeting-war-gaza ,   Palestinian American d10or walks out of White House meeting over handling of Gaza war  ,2024-04-03
https: thehill.com policy energy-environment 4582567-east-palestine-ohio-train-crash-norfolk-southern-settlement-600-million ,   Norfolk Southern settles East Palestine derailment lawsuit for $600M  ,2024-04-09
https: thehill.com homenews administration 4589171-biden-stands-in-stark-contrast-to-democrats-confronted-by-pro-palestinian-protesters ,   Biden stands in stark contrast to Democrats confronted by pro-Palestinian protesters  ,2024-04-12
https: thehill.com homenews administration 4595067-state-department-west-bank-violence-palestinians-israeli-settlers ,"   State Department condemns West Bank violence between Palestinians, Israeli settlers  ",2024-04-15
https: thehill.com homenews house 4598347-house-approves-resolution-condemning-palestinian-rallying-cry-as-antisemitic ,   House approves resolution condemning Palestinian rallying cry as antisemitic  ,2024-04-16
https: thehill.com homenews education 4596939-usc-pro-palestinian-valedictorian-speech ,"   USC’s pro-Palestinian valedictorian won’t deliver speech, school says  ",2024-04-16
https: thehill.com homenews education 4602983-columbia-ilhan-o03-d08hter-pro-palestine-protest ,   Columbia suspends Ilhan O03’s d08hter after pro-Palestine protest  ,2024-04-18
https: thehill.com homenews administration 4602949-us-veto-palestinian-request-full-un-membership ,   US vetoes Palestinian request for full UN membership  ,2024-04-18
https: thehill.com homenews education 4605360-pro-palestinian-usc-valedictorian-address-israel-gaza-hamas ,   Advocates fear for pro-Palestinian speakers after USC nixes valedictorian’s address  ,2024-04-20
https: thehill.com homenews state-watch 4613501-nypd-arrests-pro-palestinian-demonstrators-at-nyu ,   NYPD arrests pro-Palestinian demonstrators at NYU  ,2024-04-22
https: thehill.com homenews administration 4612553-biden-antisemitic-protests-palestinians-israel-gaza-hamas-columbia ,   Biden condemns ‘antisemitic protests’ and ‘those who don’t understand what’s going on with the Palestinians’  ,2024-04-22
https: thehill.com policy international 4611783-independent-report-does-not-find-uns-palestinian-agency-is-compromised-by-outside-groups ,   Independent report does not find UN’s Palestinian agency is compromised by outside groups  ,2024-04-22
https: thehill.com opinion education 4611224-conservatives-must-defend-free-expression-including-the-rights-of-pro-palestinian-protesters ,"   Conservatives must defend free expression, including rights of pro-Palestinian protesters  ",2024-04-22
https: thehill.com homenews education 4615605-columbia-pro-palestinian-protests-gaza-israel ,   Is Columbia’s president next to go amid pro-Palestinian protests?  ,2024-04-23
https: thehill.com opinion education 4611578-the-crackdown-pro-palestinian-campus-protestors-brought-it-on-themselves ,   The crackdown: Pro-Palestinian campus protesters brought it on themselves  ,2024-04-23
https: thehill.com homenews education 4614586-pro-palestinian-protests-grow-on-college-campuses-as-tensions-rise ,   Pro-Palestinian protests grow on college campuses as tensions rise   ,2024-04-23
https: thehill.com blogs in-the-know 4619655-actor-jon-lovitz-suggests-hollywood-afraid-to-condemn-pro-palestinian-protests ,   Actor Jon Lovitz suggests Hollywood ‘afraid’ to condemn pro-Palestinian protests  ,2024-04-24
https: thehill.com blogs blog-briefing-room 4619597-malala-yousafzai-confirms-support-for-palestine-after-backlash-over-musical-with-hillary-clinton ,   Malala Yousafzai confirms support for Palestine after backlash over musical with Hillary Clinton  ,2024-04-24
https: thehill.com homenews education 4619310-abbott-says-pro-palestine-protestors-at-ut-austin-belong-in-jail ,   Abbott says pro-Palestine protesters at UT Austin ‘belong in jail’  ,2024-04-24
https: thehill.com homenews nexstar_media_wire 4618980-what-to-know-about-pro-palestine-university-protests-from-texas-to-california ,   Hundreds arrested in pro-Palestine college protests around the country: What to know  ,2024-04-24
https: thehill.com homenews education 4618518-colleges-pro-palestinian-student-protests ,   Colleges grasp for solutions to pro-Palestinian student protests  ,2024-04-24
https: thehill.com homenews education 4618680-palestinian-protesters-university-of-texas ,   Police detain pro-Palestinian protesters on University of Texas campus  ,2024-04-24
https: thehill.com homenews education 4618417-harvard-pro-palestinian-encampments-student-protests-israel-gaza-hamas ,   Harvard latest school to see pro-Palestinian encampments  ,2024-04-24
https: thehill.com homenews education 4618076-princeton-students-pro-palestinian-encampment ,   Princeton students plan pro-Palestinian encampment: Report  ,2024-04-24
https: thehill.com homenews education 4617624-columbia-extends-negotiations-to-clear-pro-palestinian-encampment ,   Columbia extends negotiations to clear pro-Palestinian encampment  ,2024-04-24
https: thehill.com homenews state-watch 4622593-ut-austin-pro-palestine-protests-mass-arrest-divided-police-role ,"   After mass arrest, UT Austin split over role of police in pro-Palestine protests  ",2024-04-25
https: thehill.com homenews education 4622346-pro-palestinian-columbia-students-civil-rights-lawsuit ,   Pro-Palestinian Columbia students file civil rights complaint against school  ,2024-04-25
https: thehill.com homenews education 4621477-dc-students-faculty-launch-combined-pro-palestine-protest-gwu ,"   DC students, faculty launch combined pro-Palestine protest at GWU  ",2024-04-25
https: thehill.com homenews state-watch 4620838-texas-governor-abbott-backlash-mass-arrest-ut-austin-pro-palestine-protest ,   Texas Gov. Abbott faces backlash after mass arrest at UT Austin pro-Palestine protest  ,2024-04-25
https: thehill.com homenews house 4619460-pro-palestinian-campus-protests-roil-political-debate-in-washington ,   Pro-Palestinian campus protests roil political debate in Washington  ,2024-04-25
https: thehill.com policy international 4623596-nancy-pelosi-pro-palestinian-protestors-oxford-union ,   Pelosi address disrupted by pro-Palestinian protestors at Oxford Union  ,2024-04-26
https: thehill.com homenews education 4621996-pro-palestinian-student-protests-israel-gaza-hamas ,   Pro-Palestinian student protests highlight lessons learned from past demonstrations  ,2024-04-26
https: thehill.com homenews education 4626513-protestors-arrested-northeastern-university ,   Around 100 pro-Palestinian protestors arrested at Northeastern University  ,2024-04-27
https: thehill.com homenews state-watch 4628037-fights-break-out-between-pro-israel-pro-palestine-protesters-at-ucla ,"   Fights break out between pro-Israel, pro-Palestine protesters at UCLA  ",2024-04-28
https: thehill.com homenews 4627558-green-party-presidential-candidate-jill-stein-arrested-at-pro-palestine-college-protest ,   Green Party presidential candidate Jill Stein arrested at pro-Palestine college protest  ,2024-04-28
https: thehill.com homenews senate 4627342-chris-murphy-not-criminally-offended-by-pro-palestinian-protests-that-are-peaceful ,   Sen. Murphy says he’s not ‘criminally offended’ by pro-Palestinian protests that are peaceful  ,2024-04-28
https: thehill.com homenews education 4634576-donald-trump-claims-paid-agitators-columbia-pro-palestine-protests ,   Trump claims ‘paid agitators’ part of Columbia pro-Palestinian protests  ,2024-04-30
https: thehill.com homenews education 4634531-police-riot-gear-enter-columbia-university-palestine-protests ,   Police in riot gear enter Columbia University to break up pro-Palestinian protests  ,2024-04-30
https: thehill.com homenews administration 4634560-white-house-considers-admitting-some-palestinians-gaza-refugees ,   White House considers admitting some Palestinians from Gaza as refugees  ,2024-04-30
https: thehill.com homenews house 4633750-speaker-johnson-biden-visit-columbia-pro-palestine-protests ,   Speaker Johnson calls on Biden to visit Columbia amid pro-Palestine protests  ,2024-04-30
https: thehill.com homenews senate 4637221-lindsey-graham-biden-afraid-pro-palestinian-protestors ,   Lindsey Graham claims Biden ‘afraid’ of pro-Palestinian protesters  ,2024-04-01
https: thehill.com homenews house 4636945-antisemitism-bill-campus-protests ,   House approves antisemitism bill amid pro-Palestinian campus protests  ,2024-04-01
https: thehill.com homenews education 4636551-uaw-chief-slams-mass-arrests-of-pro-palestinian-protesters-on-college-campuses ,   UAW chief slams mass arrests of pro-Palestinian protesters on college campuses  ,2024-04-01
https: thehill.com opinion international 4633728-unrwa-is-hurting-the-palestinian-cause-it-was-designed-to-help-its-time-for-change ,   UNRWA is hurting the Palestinian cause it was designed to help — it’s time for change   ,2024-04-01
https: thehill.com homenews education 4639834-palestinian-student-protests-education-department-discrimination-columbia ,   Palestinian group says Education Department has opened probe into discrimination at Columbia  ,2024-04-02
https: thehill.com policy international 4639059-gop-senators-palestinian-refugees-national-security-risk ,   34 GOP senators call potential Biden plan for Palestinian refugees national security risk  ,2024-04-02
https: thehill.com opinion international 4638805-the-two-state-solution-assumes-a-state-of-palestine-is-possible-but-is-it ,   The two-state solution assumes a State of Palestine is possible — but is it?  ,2024-04-02
https: thehill.com opinion international 4640027-campus-riots-undermine-the-palestinian-cause-but-netanyahus-allies-undermine-israels ,"   Campus riots undermine the Palestinian cause, but Netanyahu’s allies undermine Israel’s  ",2024-04-03
https: thehill.com homenews education 4643195-pro-palestine-demonstration-interrupts-university-of-michigan-commencement ,   Pro-Palestine demonstration interrupts University of Michigan commencement  ,2024-04-04
https: thehill.com opinion education 4639279-free-palestine-or-just-hate-america ,   ‘Free Palestine?’ Or just ‘Hate America’?  ,2024-04-05
https: thehill.com homenews state-watch 4647726-pro-palestinian-protesters-met-gala-nyc ,   Pro-Palestinian protesters try to disrupt Met Gala  ,2024-04-06
https: thehill.com opinion 4647038-gaza-first-the-only-credible-path-to-palestinian-statehood ,   Gaza first — The only credible path to Palestinian statehood    ,2024-04-06
https: thehill.com opinion education 4646593-why-the-pro-palestinian-protests-failed ,   Why the pro-Palestinian protests failed  ,2024-04-07
https: thehill.com homenews education 4648531-pro-palestinian-protesters-retake-mit-encampment ,   Pro-Palestinian protesters retake MIT encampment  ,2024-04-07
https: thehill.com opinion education 4641841-brother-can-you-spare-some-sidewalk-chalk-for-palestine ,"   Brother, can you spare some sidewalk chalk for Palestine?  ",2024-04-08
https: thehill.com business 4649705-labor-unions-pro-palestine-protesters ,   Why labor unions are backing pro-Palestine protesters after mass campus arrests  ,2024-04-08
https: thehill.com policy international 4655257-un-palestinian-aid-agency-says-israelis-set-fire-to-headquarters ,   UN Palestinian aid agency says Israelis set fire to headquarters  ,2024-04-09
https: thehill.com policy defense 4657347-israeli-whistleblowers-allege-abuse-palestinians-military-base-cnn ,   Israeli whistleblowers allege abuse of Palestinians at Sde Teiman military base: CNN  ,2024-04-10
https: thehill.com homenews senate 4656955-joni-ersnt-republican-senators-probe-nonprofits-college-protests ,   GOP senators demand probe of nonprofit groups linked to pro-Palestinian campus protests  ,2024-04-10
https: thehill.com homenews education 4656819-most-in-new-survey-have-negative-view-of-pro-palestinian-protests-on-college-campuses ,   Most in new survey have negative view of pro-Palestinian protests on college campuses  ,2024-04-10
https: thehill.com policy international 4656534-these-8-countries-joined-us-in-opposing-uns-latest-palestinian-resolution ,   These 8 countries joined US in opposing UN’s latest Palestinian resolution  ,2024-04-10
https: thehill.com homenews education 4655744-pro-palestinian-encampment-dismantled-mit ,   Pro-Palestinian encampment dismantled at MIT  ,2024-04-10
